rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,0,,,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.20E+00,-4.20E+00,0.123871,5.10E-05,-7.10E-05,1.83538,0.00587,-0.00846,13.04,0.51,-5.10E-01,0.0354,,,84.41,,,1339,,,8.3977,0.0269,-0.0269,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,0,,,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.70E+00,-1.70E+00,0.075522,2.98E-04,-3.50E-04,0.37936,0.02846,-0.02633,16.1,0.81,-9.10E-01,0.0376,,,87.21,,,2048,,,4.602,0.345,-0.345,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.913,0,0,0,0,4.887803076,4.66E-07,-4.66E-07,0,,,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.10E+00,-6.10E+00,0.057823,3.51E-04,-1.74E-04,3.69348,0.0202,-0.31849,4.82,0.17,-1.80E-01,0.053,,,89.82,,,800,,,16.7084,0.0914,-0.0914,4778,86,-95,4.591,0.015,-0.036,0.763,0.028,-0.028,297.70935,48.080853,9.174
4,3861595,K00004.01,,CANDIDATE,CANDIDATE,1,0,1,0,0,3.849371737,2.34E-06,-2.34E-06,0,,,0.915,0.02,-0.056,2.632,0.106,-0.106,1298.6,1.30E+01,-1.30E+01,0.039601,5.21E-04,-2.21E-03,0.22463,0.17327,-0.08789,12.94,1.8,-4.20E+00,0.0548,,,80.61,,,2034,,,5.6,2.2,-2.2,6244,126,-114,3.657,0.27,-0.09,2.992,0.416,-0.971,294.35654,38.94738,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.780327581,8.52E-07,-8.52E-07,0,,,0.952,0.001,-0.002,2.0253,0.0139,-0.0139,960.8,3.90E+00,-3.90E+00,0.036574,1.54E-04,-2.34E-04,0.3454,0.01415,-0.01687,7.14,0.52,-3.10E-01,0.059,,,82.68,,,1441,,,7.472,0.306,-0.306,5937,83,-65,4.012,0.03,-0.03,1.787,0.132,-0.076,289.73972,44.647419,11.665
6,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.334101467,1.66E-06,-1.66E-06,0,,,0.153,0.228,-0.153,2.1033,0.0318,-0.0318,120.8,3.30E+00,-3.30E+00,0.010106,2.45E-04,-1.69E-04,1.23138,0.10085,-0.29408,1.74,0.31,-3.70E-01,0.025,,,88.2,,,2169,,,4.875,0.399,-0.399,6178,111,-136,4.106,0.168,-0.112,1.58,0.277,-0.339,294.59955,38.366772,12.161
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.213668926,1.09E-06,-1.09E-06,0,,,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.50E+00,-2.50E+00,0.02447,1.40E-04,-5.50E-05,0.46728,0.00237,-0.03311,4.13,0.26,-2.30E-01,0.044,,,89.81,,,1515,,,6.3422,0.0322,-0.0322,5795,69,-77,4.101,0.033,-0.027,1.545,0.097,-0.087,285.61533,50.13575,12.211
8,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.16015259,8.68E-07,-8.68E-07,0,,,0.748,0.025,-0.515,1.3433,0.0195,-0.0195,170.2,4.10E+00,-4.10E+00,0.013013,1.04E-03,-1.01E-03,1.35385,2.31948,-0.16987,1.4,0.2,-1.20E-01,0.0213,,,80.6,,,1751,,,4.58,2,-2,5842,105,-117,4.433,0.072,-0.117,0.985,0.143,-0.083,298.66101,41.13789,12.45
9,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.719809197,9.39E-07,-9.39E-07,0,,,1.279,0.169,-0.078,3.5317,0.0105,-0.0105,2958.2,1.01E+01,-1.01E+01,0.340144,1.53E-01,-1.06E-01,0.05755,0.00536,-0.00267,87.21,16.61,-2.85E+01,0.0514,,,68.43,,,1873,,,3.479,0.324,-0.324,6284,160,-160,3.813,0.292,-0.097,2.348,0.447,-0.766,288.80377,49.530788,13.123
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,0,,,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.60E+00,-6.60E+00,0.092086,1.41E-04,-1.77E-04,0.65374,0.01481,-0.01458,14.59,1.11,-1.11E+00,0.0473,,,85.2,,,1521,,,7.541,0.171,-0.171,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
11,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.747838198,3.90E-06,-3.90E-06,0,,,1.121,1.104,-0.035,5.0642,0.0445,-0.0445,616,5.30E+00,-5.30E+00,0.151387,1.09E+00,-3.30E-02,0.00878,0.02086,-0.00049,13.65,3.11,-1.04E+00,0.046,,,53.12,,,1031,,,1.868,0.888,-0.888,5514,149,-149,4.569,0.029,-0.162,0.826,0.188,-0.063,291.06152,50.265129,13.496
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.635,0,0,0,0,17.85522168,3.68E-06,-3.68E-06,0,,,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,9065.2,1.12E+01,-1.12E+01,0.08815,4.20E-05,-9.10E-05,0.47367,0.00473,-0.00057,13.16,2.57,-6.50E-01,0.1491,,,89.79,,,911,,,19.986,0.2,-0.2,6823,61,-92,4.308,0.024,-0.128,1.367,0.267,-0.067,297.45374,41.01099,11.353
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.875,0,1,0,0,1.763587535,4.20E-08,-4.20E-08,0,,,0.512,0.007,-0.008,3.16877,0.0029,-0.0029,4590.6,1.50E+00,-1.50E+00,0.064717,4.70E-05,-6.30E-05,0.4004,0.00564,-0.00668,21.42,6.33,-9.48E+00,0.0386,,,82.71,,,3559,,,4.0378,0.0569,-0.0569,9107,242,-443,3.867,0.343,-0.147,3.031,0.895,-1.342,286.97119,46.868359,9.958
14,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.947376671,3.23E-06,-3.23E-06,0,,,2.641,10.99,-0.707,2.0911,0.0437,-0.0437,433.2,8.50E+00,-8.50E+00,1.654364,1.10E+01,-7.07E-01,0.13115,7.12893,-0.08696,403.59,85.99,-1.05E+02,0.0492,,,47.65,,,2404,,,3.92,2,-2,8090,226,-340,4.002,0.198,-0.132,2.234,0.476,-0.581,292.61194,43.305141,10.47
15,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.012476582,1.16E-06,-1.16E-06,0,,,1.261,0.509,-0.102,3.1424,0.0155,-0.0155,1138.5,5.50E+00,-5.50E+00,0.294213,5.00E-01,-9.80E-02,0.03231,0.01798,-0.00243,65.25,19.12,-1.27E+01,0.052,,,59.63,,,2371,,,2.493,0.694,-0.694,8601,240,-412,4.137,0.098,-0.182,2.031,0.595,-0.396,294.1434,39.089779,12.403
16,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.895277575,5.07E-07,-5.07E-07,0,,,0.928,0.022,-0.045,2.711,0.112,-0.112,534.5,4.80E+00,-4.80E+00,0.025524,2.63E-04,-1.52E-03,0.07361,0.03688,-0.01634,9.27,2.27,-4.56E+00,0.0231,,,50.55,,,4253,,,1.461,0.366,-0.366,8040,224,-336,3.707,0.432,-0.108,3.325,0.817,-1.634,298.34421,45.40992,13.574
17,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,0.987,0,0,0,0,3.234699282,1.19E-07,-1.19E-07,0,,,0.079,0.003,-0.058,3.59385,0.00078,-0.00078,10558.7,4.20E+00,-4.20E+00,0.092633,3.20E-05,-8.20E-05,0.76885,0.00686,-0.00055,13.06,0.96,-9.60E-01,0.0435,,,89.4,,,1356,,,7.52,0.0671,-0.0671,5640,113,-101,4.236,0.055,-0.045,1.291,0.095,-0.095,296.83725,48.239944,13.303
18,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.754,0,1,0,0,3.548465446,1.83E-07,-1.83E-07,0,,,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7251.5,3.30E+00,-3.30E+00,0.078272,4.60E-05,-4.70E-05,0.3962,0.00321,-0.00076,14.92,1.08,-1.31E+00,0.05,,,89.33,,,1640,,,6.4128,0.052,-0.052,6290,125,-125,4.074,0.05,-0.05,1.746,0.126,-0.154,299.40701,44.035053,13.369
19,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.20320092,2.96E-07,-2.96E-07,0,,,1.274,3.088,-0.042,1.9197,0.0108,-0.0108,2807.1,1.35E+01,-1.35E+01,0.334324,3.04E+00,-3.96E-02,0.15977,1.68928,-0.00527,49.25,8.83,-8.84E+00,0.0225,,,56.44,,,2124,,,2.3,1.1,-1.1,6218,124,-137,4.198,0.162,-0.108,1.349,0.242,-0.242,280.94385,42.839184,11.374
20,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.761,0,0,0,0,4.437962934,1.71E-07,-1.71E-07,0,,,0.069,0.007,-0.05,4.69813,0.00079,-0.00079,16387.6,5.30E+00,-5.30E+00,0.116814,4.40E-05,-5.30E-05,0.50482,0.00357,-0.00068,18.05,2.92,-3.57E+00,0.0545,,,89.51,,,1338,,,8.0702,0.0571,-0.0571,5953,105,-129,4.175,0.168,-0.112,1.415,0.229,-0.28,286.24344,50.040379,13.438
21,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,4.288515468,1.07E-06,-1.07E-06,0,,,1.283,0.594,-0.18,2.2959,0.0107,-0.0107,3456.7,1.44E+01,-1.44E+01,0.349955,5.85E-01,-1.67E-01,0.23775,0.08766,-0.01374,76.51,16.12,-2.62E+01,0.0534,,,77.93,,,1722,,,6.14,2.3,-2.3,6378,176,-176,3.878,0.315,-0.105,2.002,0.422,-0.686,284.73859,47.169628,13.396
22,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,0.988,0,0,0,0,7.891448838,5.06E-07,-5.06E-07,0,,,0.306,0.022,-0.028,4.2854,0.00697,-0.00697,10344.6,6.90E+00,-6.90E+00,0.093464,1.35E-04,-2.12E-04,0.98147,0.02817,-0.02117,12.63,2.13,-1.42E+00,0.0813,,,88.81,,,1028,,,14.784,0.424,-0.424,5972,72,-84,4.313,0.095,-0.116,1.237,0.209,-0.139,282.62967,46.32336,13.435
23,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,0.269,0,1,0,0,4.693305543,3.84E-07,-3.84E-07,0,,,0.23,0.024,-0.03,5.17249,0.00775,-0.00775,14522.9,1.07E+01,-1.07E+01,0.111211,1.21E-04,-1.68E-04,0.37183,0.00783,-0.00647,17.85,3.24,-2.43E+00,0.06,,,88.26,,,1389,,,7.565,0.159,-0.159,6365,115,-140,4.22,0.099,-0.121,1.47,0.267,-0.2,283.16632,45.403061,12.291
24,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.086075752,1.39E-06,-1.39E-06,0,,,0.914,0.008,-0.012,2.2647,0.052,-0.052,3657.8,5.38E+01,-5.38E+01,0.066543,7.00E-04,-1.53E-03,0.27636,0.03994,-0.03975,10.3,2.08,-3.14E+00,0.0304,,,76.77,,,1845,,,3.991,0.577,-0.577,6131,168,-153,4.071,0.294,-0.126,1.417,0.287,-0.431,290.8154,39.819469,12.963
25,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3.132604547,1.48E-06,-1.48E-06,0,,,1.251,3.655,-0.151,3.6337,0.0226,-0.0226,9969.2,5.20E+01,-5.20E+01,0.377855,3.62E+00,-1.34E-01,0.12475,0.8605,-0.00907,48.73,16.67,-7.14E+00,0.043,,,71.84,,,1444,,,4.01,2,-2,6248,168,-205,4.328,0.108,-0.201,1.181,0.404,-0.173,289.26166,47.815521,13.499
26,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,15.03946326,1.11E-05,-1.11E-05,0,,,0.902,0.003,-0.003,5.1008,0.0374,-0.0374,5237.7,3.86E+01,-3.86E+01,0.07857,3.85E-04,-5.07E-04,0.19989,0.00758,-0.00766,12.36,3.96,-2.63E+00,0.128,,,86.13,,,962,,,13.37,0.507,-0.507,6501,146,-194,4.212,0.153,-0.187,1.441,0.461,-0.307,294.73282,40.150341,11.997
27,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1.141877248,6.60E-08,-6.60E-08,0,,,0.598,0.007,-0.007,4.33931,0.00301,-0.00301,309490,1.77E+02,-1.77E+02,0.593216,3.88E-03,-3.25E-03,0.45438,0.0021,-0.00153,88.62,25.78,-2.58E+01,0.0212,,,79.07,,,2184,,,3.1521,0.0146,-0.0146,6158,169,-188,4.152,0.286,-0.176,1.368,0.398,-0.398,285.39404,38.904911,13.418
28,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,4.100870416,3.61E-07,-3.61E-07,0,,,0.938,0.015,-0.014,8.15361,0.00405,-0.00405,123521,5.48E+01,-5.48E+01,0.500096,1.06E-02,-1.02E-02,0.11277,0.00068,-0.00089,82.46,21.79,-2.42E+01,0.0517,,,78.35,,,1413,,,4.6455,0.028,-0.028,5923,187,-208,4.118,0.286,-0.154,1.51,0.399,-0.443,287.16486,39.376942,11.26
29,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.925589891,3.65E-06,-3.65E-06,0,,,0.616,0.056,-0.474,1.967,0.117,-0.117,400.8,2.38E+01,-2.38E+01,0.018924,1.19E-02,-1.57E-03,0.60784,0.54683,-0.03702,50.6,14.85,-5.30E+00,0.0181,,,78.23,,,6637,,,3.02,1.4,-1.4,4094,73,-55,1.627,0.12,-0.12,24.488,7.185,-2.566,294.0318,42.468845,10.795
30,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.366197145,1.03E-06,-1.03E-06,0,,,0.319,0.167,-0.318,1.2335,0.0877,-0.0877,275.3,2.14E+01,-2.14E+01,0.014924,9.00E-04,-9.15E-04,1.67289,0.54184,-0.59932,51.34,2.15,-1.15E+01,0.0122,,,81.97,,,9983,,,2.28,0.739,-0.739,4448,88,-122,1.694,0.033,-0.027,31.5,1.323,-7.056,296.9679,40.926769,11.059
31,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,1,0,0,0,0,12.81590421,1.95E-05,-1.95E-05,0,,,0.58,0.005,-0.486,6.3856,0.0438,-0.0438,220.5,2.20E+00,-2.20E+00,0.014067,1.60E-03,-4.88E-04,0.23998,0.14283,-0.19473,2.26,0.15,-1.20E-01,0.109,,,87.4,,,939,,,12.77,3.8,-3.8,5788,78,-78,4.122,0.033,-0.027,1.474,0.094,-0.079,291.38599,41.990269,11.197
32,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.88707073,2.28E-05,-2.28E-05,0,,,0.696,0.029,-0.508,4.4679,0.0757,-0.0757,68.7,2.00E+00,-2.00E+00,0.008082,8.00E-06,-6.32E-04,0.25585,0.3484,-0.03735,1.3,0.08,-7.00E-02,0.072,,,85.37,,,1155,,,8.62,3.9,-3.9,5788,78,-78,4.122,0.033,-0.027,1.474,0.094,-0.079,291.38599,41.990269,11.197
33,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,1,0,0,0,0,35.3331932,2.25E-04,-2.25E-04,0,,,0.656,0.27,-0.433,5.966,0.128,-0.128,99.7,3.60E+00,-3.60E+00,0.009621,1.98E-03,-5.41E-04,0.63393,0.68327,-0.46644,1.55,0.1,-8.00E-02,0.2143,,,88.92,,,670,,,34.7,12.5,-12.5,5788,78,-78,4.122,0.033,-0.027,1.474,0.094,-0.079,291.38599,41.990269,11.197
34,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,1,0,0,0,0,17.83367834,1.39E-05,-1.39E-05,0,,,0.013,0.278,-0.013,4.5112,0.0195,-0.0195,326.9,2.40E+00,-2.40E+00,0.016638,1.72E-04,-6.90E-05,1.72198,0.01733,-0.24545,2.43,0.12,-1.40E-01,0.1424,,,89.97,,,866,,,30.706,0.309,-0.309,6407,76,-83,4.268,0.03,-0.03,1.337,0.067,-0.074,283.1507,45.139832,9.364
35,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,11.32029599,1.72E-05,-1.72E-05,0,,,0.914,0.01,-0.011,4.5866,0.0978,-0.0978,4303.5,9.09E+01,-9.09E+01,0.073488,1.62E-03,-2.09E-03,0.17848,0.01992,-0.02744,8.02,0,0.00E+00,0.0989,,,85.08,,,811,,,10.65,1.2,-1.2,5780,,,4.438,,,1,,,293.26605,45.350697,13.29
36,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,66.46746217,3.00E-05,-3.00E-05,0,,,0.116,0.039,-0.078,19.6638,0.0232,-0.0232,12643.7,1.42E+01,-1.42E+01,0.102171,6.20E-05,-1.94E-04,0.09715,0.00221,-0.00041,11.97,3.43,-1.57E+00,0.3278,,,89.76,,,466,,,28.31,0.644,-0.644,5843,182,-203,4.403,0.087,-0.203,1.073,0.307,-0.141,300.15186,45.089611,13.483
37,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,6.397185875,2.79E-06,-2.79E-06,0,,,0.755,0.004,-0.006,5.8638,0.0231,-0.0231,18887,5.39E+01,-5.39E+01,0.137546,3.94E-04,-4.19E-04,0.16887,0.00407,-0.00401,15.02,0,0.00E+00,0.0676,,,83.94,,,981,,,7.149,0.172,-0.172,5780,,,4.438,,,1,,,290.26614,38.837917,13.133
38,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.487688776,1.11E-06,-1.11E-06,0,,,0.026,0.205,-0.026,3.83661,0.00947,-0.00947,1298.8,4.10E+00,-4.10E+00,0.032422,2.31E-04,-8.00E-05,0.57862,0.00023,-0.06363,5.64,0.83,-1.35E+00,0.0461,,,89.79,,,1445,,,7.19235,0.00286,-0.00286,5576,112,-101,4.065,0.196,-0.084,1.593,0.235,-0.382,283.25549,48.355232,13.77
39,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,0.917,0,0,0,0,6.02977241,6.26E-05,-6.26E-05,0,,,0.379,0.088,-0.379,3.961,0.229,-0.229,54.6,5.10E+00,-5.10E+00,0.006767,2.85E-04,-5.44E-04,0.66776,0.19937,-0.28483,1.18,0.17,-2.90E-01,0.0665,,,88,,,1204,,,10.87,3.2,-3.2,5576,112,-101,4.065,0.196,-0.084,1.593,0.235,-0.382,283.25549,48.355232,13.77
40,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,23.83680888,1.51E-06,-1.51E-06,0,,,1.008,0.013,-0.013,6.02854,0.00455,-0.00455,29684.7,1.55E+01,-1.55E+01,0.279942,9.68E-03,-9.65E-03,0.45122,0.00218,-0.00309,59.31,14.97,-2.78E+01,0.1662,,,87.58,,,919,,,23.842,0.115,-0.115,6095,213,-213,3.894,0.512,-0.128,1.94,0.49,-0.909,296.55386,43.543179,13.722
41,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.31377304,4.21E-05,-4.21E-05,0,,,0.002,0.432,-0.002,2.964,0.125,-0.125,837.4,4.91E+01,-4.91E+01,0.026357,1.24E-03,-8.11E-04,2.91336,0.16078,-1.25664,2.74,0.43,-1.30E-01,0.0821,,,89.99,,,886,,,22,1.2,-1.2,5900,105,-117,4.509,0.021,-0.119,0.951,0.152,-0.045,292.24902,46.164822,13.704
42,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.43114677,3.27E-06,-3.27E-06,0,,,1.225,1.051,-0.137,3.8853,0.0186,-0.0186,29375.6,9.20E+01,-9.20E+01,0.461939,1.02E+00,-1.17E-01,0.76982,0.60737,-0.04012,50.44,0,0.00E+00,0.0936,,,85.72,,,833,,,16.42,6.5,-6.5,5780,,,4.438,,,1,,,295.91885,41.332432,13.761
43,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.98786272,2.31E-06,-2.31E-06,0,,,0.621,0.055,-0.159,2.5814,0.0875,-0.0875,42789,5.96E+02,-5.96E+02,0.198719,2.73E-03,-9.05E-03,1.60117,0.63228,-0.26348,17.82,2.75,-1.70E+00,0.0386,,,86.09,,,1064,,,9.11,3.6,-3.6,5231,203,-166,4.544,0.049,-0.098,0.821,0.127,-0.078,294.97745,38.678352,13.109
44,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.388887193,1.68E-06,-1.68E-06,0,,,0.387,0.009,-0.352,2.4475,0.0316,-0.0316,11267.8,8.15E+01,-8.15E+01,0.098136,4.41E-03,-1.39E-03,2.13082,0.59512,-0.00613,10.72,0,0.00E+00,0.0442,,,87.97,,,1212,,,10.9,3,-3,5780,,,4.438,,,1,,,292.03091,37.773529,13.513
45,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.63345402,2.88E-05,-2.88E-05,0,,,1.19,11.24,-0.079,3.817,0.755,-0.755,359,6.17E+01,-6.17E+01,0.208715,1.12E+01,-7.99E-02,0.01873,13.97227,-0.00625,24.87,8.04,-3.45E+00,0.0274,,,30.59,,,1750,,,1.382,0.691,-0.691,6283,197,-241,4.372,0.105,-0.195,1.091,0.353,-0.151,296.93594,44.161045,12.179
46,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,9.43414171,2.14E-05,-2.14E-05,0,,,0.538,0.046,-0.434,2.8112,0.0775,-0.0775,3977,1.16E+02,-1.16E+02,0.059248,1.22E-02,-2.12E-03,2.725,1.44231,-2.0015,5.73,0.78,-3.30E-01,0.0858,,,88.68,,,791,,,23.4,6.2,-6.2,5578,100,-111,4.518,0.035,-0.105,0.886,0.12,-0.051,289.22617,49.548199,11.582
47,7051180,K00064.01,,CANDIDATE,CANDIDATE,1,0,1,0,0,1.951082219,3.89E-06,-3.89E-06,0,,,0.925,0.029,-0.721,1.6975,0.0534,-0.0534,1151.8,4.58E+01,-4.58E+01,0.039073,2.35E-03,-8.44E-03,0.38477,5.28013,-0.20431,10.35,0.77,-1.25E+00,0.033,,,77.46,,,2005,,,4.26,2.1,-2.1,5302,71,-87,3.768,0.06,-0.045,2.426,0.181,-0.293,296.51059,42.54744,13.143
48,10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.436282594,8.80E-08,-8.80E-08,0,,,1.269,0.305,-0.159,1.3988,0.0121,-0.0121,536.4,3.20E+00,-3.20E+00,0.290761,3.02E-01,-1.55E-01,0.26951,0.20893,-0.07276,83.25,9.15,-2.13E+01,0.0137,,,24.48,,,5187,,,1.394,0.541,-0.541,8491,67,-93,3.853,0.232,-0.058,2.622,0.288,-0.672,298.70923,47.840019,11.002
49,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1.000840564,6.44E-07,-6.44E-07,0,,,1.165,8.618,-0.184,1.3292,0.0318,-0.0318,2714.4,4.80E+01,-4.80E+01,0.231327,8.70E+00,-1.54E-01,0.32569,31.16455,-0.06952,80.25,14.86,-3.47E+01,0.0216,,,63.2,,,3367,,,2.58,1.3,-1.3,6287,170,-189,3.558,0.353,-0.118,3.177,0.588,-1.372,281.89307,44.827461,12.733
50,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.72674037,1.57E-06,-1.57E-06,0,,,0.657,0.042,-0.449,2.9267,0.0164,-0.0164,273.1,1.10E+00,-1.10E+00,0.015943,4.00E-05,-8.36E-04,0.74833,0.72065,-0.15117,1.56,0.07,-7.00E-02,0.0525,,,86.08,,,1028,,,9.6,4.6,-4.6,5648,76,-76,4.472,0.03,-0.03,0.894,0.04,-0.036,291.4183,38.672359,9.931
51,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,1,0,0,0,0,10.85409593,4.98E-06,-4.98E-06,0,,,0.422,0.034,-0.358,3.7768,0.0204,-0.0204,1034.4,4.50E+00,-4.50E+00,0.029604,1.50E-03,-5.24E-04,1.41039,0.47265,-0.09323,2.99,0.33,-2.70E-01,0.0919,,,88.83,,,765,,,20.63,6.9,-6.9,5465,109,-109,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
52,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.696121272,2.39E-06,-2.39E-06,0,,,0.016,0.371,-0.016,2.463,0.0181,-0.0181,383.4,3.30E+00,-3.30E+00,0.017627,3.79E-04,-1.13E-04,2.20611,0.06127,-0.56852,1.78,0.19,-1.60E-01,0.0448,,,89.92,,,1095,,,11.679,0.324,-0.324,5465,109,-109,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
53,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,0.563,0,0,0,0,77.6114427,1.54E-04,-1.54E-04,0,,,0.094,0.323,-0.094,7.1786,0.0563,-0.0563,814.5,8.40E+00,-8.40E+00,0.02568,5.98E-04,-2.73E-04,1.88554,0.10425,-0.44671,2.59,0.29,-2.30E-01,0.3411,,,89.94,,,397,,,84.36,4.7,-4.7,5465,109,-109,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
54,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,0.999,0,0,0,0,6.09855603,2.54E-05,-2.54E-05,0,,,0.21,0.241,-0.21,2.9815,0.099,-0.099,84.4,3.80E+00,-3.80E+00,0.008309,3.39E-04,-2.38E-04,1.86534,0.26383,-0.6766,0.84,0.09,-8.00E-02,0.0626,,,89.22,,,927,,,15.42,2.2,-2.2,5465,109,-109,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
