rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3470,9837661,K02715.03,,CANDIDATE,CANDIDATE,1,0,0,0,0,5.72084599,3.62E-05,-3.62E-05,0,,,0.166,0.305,-0.166,2.744,0.137,-0.137,1316,7.30E+01,-7.30E+01,0.032418,1.73E-03,-1.11E-03,2.47495,0.44106,-0.92847,1.78,0.11,-2.00E-01,0.0501,,,89.41,,,509,,,16.24,2.9,-2.9,3640,81,-90,4.744,0.056,-0.024,0.503,0.03,-0.056,294.52859,46.640968,16.835
3471,9092504,K02716.01,Kepler-1322 b,CONFIRMED,CANDIDATE,1,0,0,0,0,0.962864171,2.11E-06,-2.11E-06,0,,,0.736,0.019,-0.532,1.6802,0.0562,-0.0562,303.5,1.13E+01,-1.13E+01,0.017264,2.27E-03,-1.32E-03,0.66163,1.13511,-0.48951,1.52,0.36,-1.50E-01,0.0183,,,76.66,,,1666,,,3.19,1.4,-1.4,5704,169,-186,4.575,0.04,-0.16,0.804,0.194,-0.077,293.20453,45.435398,15.81
3472,9092504,K02716.02,,CANDIDATE,CANDIDATE,0.956,0,0,0,0,6.46004728,3.02E-05,-3.02E-05,0,,,0.828,0.103,-0.607,1.979,0.109,-0.109,394.2,2.59E+01,-2.59E+01,0.020507,3.12E-03,-2.47E-03,1.50481,6.57862,-1.16228,1.8,0.43,-1.70E-01,0.0652,,,86.82,,,883,,,14.92,7.2,-7.2,5704,169,-186,4.575,0.04,-0.16,0.804,0.194,-0.077,293.20453,45.435398,15.81
3473,9467404,K02717.01,Kepler-1323 b,CONFIRMED,CANDIDATE,1,0,0,0,0,0.929906166,7.77E-07,-7.77E-07,0,,,0.102,0.338,-0.101,1.743,0.021,-0.021,108.7,1.60E+00,-1.60E+00,0.009563,2.29E-04,-1.09E-04,1.54821,0.05556,-0.47609,1.48,0.24,-2.80E-01,0.0191,,,88.59,,,2291,,,4.136,0.148,-0.148,6039,134,-121,4.169,0.168,-0.112,1.413,0.234,-0.26,292.87228,46.098881,12.41
3474,5308666,K02718.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,0.784513087,1.34E-06,-1.34E-06,0,,,0.029,0.33,-0.029,1.9206,0.0516,-0.0516,316.6,8.10E+00,-8.10E+00,0.015257,5.43E-04,-2.79E-04,1.0278,0.01996,-0.29252,131.4,3.35,-2.68E+01,0.0201,,,89.48,,,10634,,,3.2217,0.0626,-0.0626,3853,76,-105,0.892,0.03,-0.03,78.869,2.01,-16.083,299.55634,40.460297,13.819
3475,5184911,K02719.01,Kepler-1324 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.11585514,1.16E-05,-1.16E-05,0,,,0.807,0.019,-0.57,1.4858,0.0825,-0.0825,425.8,2.49E+01,-2.49E+01,0.02144,5.08E-03,-3.07E-03,2.61821,8.72525,-2.31981,1.93,0.13,-2.00E-01,0.0466,,,86.52,,,895,,,13.28,6.3,-6.3,4827,129,-144,4.508,0.084,-0.07,0.823,0.056,-0.086,291.18497,40.311211,15.141
3476,5184911,K02719.02,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,106.25976,2.61E-03,-2.61E-03,0,,,0.209,0.243,-0.209,6.101,0.849,-0.849,354,5.53E+01,-5.53E+01,0.016656,2.04E-03,-1.01E-03,3.88748,2.88653,-3.79025,1.5,0.1,-1.60E-01,0.4071,,,89.91,,,303,,,132.4,49.2,-49.2,4827,129,-144,4.508,0.084,-0.07,0.823,0.056,-0.086,291.18497,40.311211,15.141
3477,8176564,K02720.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,6.57159435,2.29E-05,-2.29E-05,0,,,0.751,0.226,-0.513,3.1044,0.0854,-0.0854,65.7,2.50E+00,-2.50E+00,0.008051,1.28E-03,-6.08E-04,0.56886,1.10344,-0.54081,1.26,0.06,-5.00E-02,0.0694,,,86.05,,,1211,,,10.91,5.3,-5.3,6042,81,-81,4.139,0.012,-0.013,1.432,0.064,-0.052,295.43967,44.039162,10.338
3478,6587105,K02721.01,Kepler-1325 b,CONFIRMED,CANDIDATE,1,0,0,0,0,33.878639,2.19E-04,-2.19E-04,0,,,0.923,0.003,-0.645,6.194,0.134,-0.134,700.1,2.84E+01,-2.84E+01,0.030037,6.70E-05,-5.55E-03,0.11483,1.42347,-0.01145,3.52,0.49,-5.00E-01,0.2004,,,87.23,,,564,,,19.1,9.5,-9.5,5533,74,-74,4.348,0.126,-0.103,1.072,0.15,-0.15,285.01721,42.085381,15.16
3479,7673192,K02722.01,Kepler-402 c,CONFIRMED,CANDIDATE,0.98,0,0,0,0,6.12479773,3.24E-05,-3.24E-05,0,,,0.79,0.037,-0.545,3.466,0.122,-0.122,129.3,6.90E+00,-6.90E+00,0.011473,2.31E-03,-1.07E-03,0.31706,0.89126,-0.29365,1.51,0.26,-2.40E-01,0.0659,,,84.71,,,1140,,,8.57,4,-4,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268
