,rowid,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,predicted
1649,1650,11074178,CANDIDATE,9.18189122,132.40505,0.971,4.343,364.0,2.17,804.0,98.61,18.2,5741.0,4.555,0.846,286.27386,48.61871,15.338,0
1650,1651,11030475,CANDIDATE,2.64622742,132.66343,0.478,1.4069999999999998,156.0,0.99,1082.0,324.38,8.4,5167.0,4.555,0.787,292.23992999999996,48.51157,15.498,1
1651,1652,5942808,CANDIDATE,2.935362067,136.18415,0.86,1.5043,1050.0,3.15,1022.0,258.48,38.0,4922.0,4.505,0.823,285.21667,41.282429,15.622,0
1660,1661,6383785,CANDIDATE,3.62275506,132.99267,0.006999999999999999,2.7868,181.0,1.62,1304.0,683.84,22.3,5794.0,4.282,1.216,297.20153999999997,41.730209,14.762,0
1668,1669,8261920,CANDIDATE,6.69332825,137.70324,0.9520000000000001,2.311,782.0,2.44,609.0,32.54,23.4,4245.0,4.641,0.637,300.24222000000003,44.141399,15.673,0
1669,1670,8261920,CANDIDATE,33.13628610000001,169.50676,0.7909999999999999,4.163,825.0,2.05,357.0,3.86,16.3,4245.0,4.641,0.637,300.24222000000003,44.141399,15.673,0
1670,1671,8261920,CANDIDATE,7.72513619,176.80202,0.9540000000000001,2.042,382.0,1.71,581.0,26.91,10.5,4245.0,4.641,0.637,300.24222000000003,44.141399,15.673,1
1673,1674,8126558,CANDIDATE,12.19140405,136.33677,0.091,1.8832,666.0,2.46,763.0,80.01,19.4,5516.0,4.399,0.9670000000000001,300.1705,43.984970000000004,15.364,0
1682,1683,12017109,CANDIDATE,9.75374033,134.06014,0.295,2.3480000000000003,431.0,1.87,813.0,103.3,18.9,5806.0,4.5280000000000005,0.899,293.90057,50.427052,15.158,0
1692,1693,3734418,CANDIDATE,6.6254781000000005,136.1733,0.2113,2.358,122.0,0.9,828.0,111.18,2.7,5211.0,4.5,0.8320000000000001,287.52963,38.894508,14.11,1
1693,1694,8613535,CANDIDATE,29.9685917,147.8598,0.282,6.678,310.0,1.91,644.0,40.76,26.5,6249.0,4.428,1.0759999999999998,286.97128,44.708302,14.456,0
1707,1708,8591173,CANDIDATE,12.2885046,141.61869,0.632,2.807,342.0,3.22,913.0,164.61,12.0,5109.0,3.96,1.671,301.34286000000003,44.672211,14.414000000000001,1
1717,1718,1872821,CANDIDATE,10.27380957,134.65748,0.125,3.252,353.0,1.68,799.0,96.27,19.2,5806.0,4.5280000000000005,0.899,292.42758,37.320808,14.909,0
1720,1721,8013439,CANDIDATE,8.256285700000001,137.9267,0.816,2.0378,37.3,1.49,1387.0,874.56,18.2,6197.0,3.8369999999999997,2.188,285.1828,43.831078000000005,10.421,1
1725,1726,4140813,CANDIDATE,13.36019864,131.81481000000002,0.534,2.7880000000000003,700.0,1.84,520.0,17.3,21.3,4500.0,4.638,0.688,286.47934,39.269958,15.637,0
1727,1728,3097926,CANDIDATE,14.97974335,143.46174,0.93,4.126,1210.0,3.79,620.0,34.95,33.2,5062.0,4.481,0.853,285.90848,38.212719,15.549000000000001,0
1728,1729,10518424,CANDIDATE,6.7445683,135.5092,0.1199,3.813,86.6,0.86,983.0,220.68,6.8,6106.0,4.496,0.9229999999999999,283.75385,47.796951,15.319,1
1729,1730,5730445,CANDIDATE,33.35859852,137.57061000000002,0.937,2.286,1830.0,4.44,459.0,10.46,32.2,5009.0,4.515,0.799,298.07473999999996,40.94899,15.253,0
1730,1731,5601258,CANDIDATE,8.84784273,140.15085,0.047,2.0572,460.0,1.15,479.0,12.48,21.1,3867.0,4.718,0.552,285.08655,40.898998,14.911,0
1736,1737,5716932,CANDIDATE,56.4931698,143.99262,0.7070000000000001,8.704,412.0,4.43,681.0,50.79,31.8,6160.0,3.9760000000000004,2.046,295.1391,40.979061,13.524000000000001,0
1739,1740,11566256,CANDIDATE,5.78387049,135.5798,0.22699999999999998,1.3966,413.0,2.07,1051.0,288.69,20.7,6063.0,4.476,1.012,295.30255,49.589119000000004,15.049000000000001,0
1742,1743,4857213,CANDIDATE,8.77425786,132.33386000000002,0.917,2.2245,240.0,1.75,771.0,83.63,22.3,5146.0,4.445,0.905,297.07465,39.933849,13.714,0
