,rowid,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,predicted
2482,2483,5953297,CANDIDATE,5.62006198,132.95381,0.9690000000000001,2.7510000000000003,190.0,1.45,772.0,84.01,17.4,4868.0,4.6,0.746,289.55301000000003,41.297852,14.009,0
2483,2484,7659389,CANDIDATE,3.8259005,132.20163,0.951,1.8057,857.0,3.45,1005.0,241.25,20.3,5223.0,4.505,0.885,281.04916000000003,43.322601,15.767999999999999,0
2484,2485,9472074,CANDIDATE,0.558841234,131.57991,0.307,0.7918,281.0,1.33,1787.0,2412.15,26.3,5151.0,4.592,0.792,294.59656,46.048302,15.6,1
2487,2488,11197853,CANDIDATE,0.6984613040000001,131.85138,0.45899999999999996,0.7887,134.0,14.81,5173.0,168689.02,16.1,4676.0,2.577,12.558,295.34222,48.856152,13.585999999999999,1
2494,2495,6716021,CANDIDATE,110.7556272,144.80528,0.917,6.819,8070.0,29.64,651.0,42.53,48.5,6525.0,3.772,2.668,297.84125,42.118252000000005,13.455,1
2507,2508,4249611,CANDIDATE,79.2450351,161.5717,0.001,5.382000000000001,1350.0,3.33,404.0,6.33,14.4,5648.0,4.4639999999999995,0.917,287.84833,39.358429,15.302,1
2508,2509,8263545,CANDIDATE,4.44589508,131.74309,0.7040000000000001,2.3816,441.0,1.94,1063.0,302.6,20.9,5918.0,4.544,0.865,300.73239,44.107059,15.390999999999998,0
2514,2515,7899070,CANDIDATE,126.44512749999998,166.49998,0.046,16.7151,3250.0,4.49,321.0,2.51,110.9,5613.0,4.581,0.795,294.53934,43.60778,15.5,1
2517,2518,7826659,CANDIDATE,211.032819,279.12891,0.8079999999999999,7.119,1950.0,3.43,215.0,0.5,69.3,4658.0,4.632,0.6859999999999999,293.29837000000003,43.55587,13.855,0
2518,2519,7202957,CANDIDATE,1.716828304,132.03204,0.7,2.068,59.5,0.74,1455.0,1056.84,14.2,5808.0,4.522,0.902,292.61511,42.764252,10.158,1
2532,2533,4939533,CANDIDATE,5.77207177,134.93042,0.018000000000000002,2.605,329.0,1.54,915.0,165.58,13.2,5591.0,4.559,0.86,295.84747000000004,40.006721,15.703,1
2533,2534,4846856,CANDIDATE,46.151253000000004,147.81245,0.688,5.346,649.0,2.08,423.0,7.59,17.1,5204.0,4.525,0.769,294.8418,39.91888,15.265999999999998,0
2537,2538,10265602,CANDIDATE,165.3447044,174.29621,0.917,3.09,4900.0,6.98,301.0,1.93,48.0,5594.0,4.52,0.812,288.17789,47.36668,15.548,0
2538,2539,5369827,CANDIDATE,3.6069403789999996,134.77442,0.857,1.0418,432.0,2.04,1046.0,283.23,20.8,5508.0,4.569,0.84,293.93347,40.590740000000004,13.460999999999999,0
2545,2546,6197215,CANDIDATE,10.61345333,135.6898,0.535,0.9829,150.0,1.77,987.0,224.63,20.0,5865.0,4.163,1.3880000000000001,289.36441,41.533229999999996,12.824000000000002,0
2553,2554,4552729,CANDIDATE,97.44631940000001,204.83008999999998,0.063,6.765,2140.0,3.05,283.0,1.52,62.8,4735.0,4.627,0.6859999999999999,289.10992000000005,39.685390000000005,14.981,0
2558,2559,3663173,CANDIDATE,174.636181,184.5253,0.04,15.679,2500.0,11.12,481.0,12.65,37.1,5974.0,3.859,2.2319999999999998,295.66913,38.795840999999996,15.905,1
2564,2565,9109857,CANDIDATE,1.791877025,132.8762,0.40299999999999997,1.166,46.1,1.48,2223.0,5787.99,12.5,6002.0,3.841,2.1390000000000002,298.21527000000003,45.406890999999995,12.599,1
2566,2567,5436338,CANDIDATE,6.30922043,133.99677,0.11800000000000001,1.3251,691.0,1.37,606.0,31.73,22.5,4380.0,4.71,0.53,287.82639,40.696602,15.905999999999999,0
2568,2569,6716545,CANDIDATE,145.881936,194.6951,0.325,11.342,157.0,1.8,424.0,7.63,11.2,6052.0,4.183,1.4240000000000002,297.94476000000003,42.191879,13.716,1
2574,2575,9475552,CANDIDATE,6.56606941,134.49512,0.687,1.8455,402.0,1.83,777.0,86.27,25.8,4818.0,4.481,0.856,295.82144,46.053028000000005,14.975,0
2576,2577,5196864,CANDIDATE,2.50343279,131.94522,1.178,1.534,1160.0,20.23,1147.0,408.12,13.2,5174.0,4.4830000000000005,0.84,294.54373,40.313862,15.600999999999999,1
2577,2578,11071200,CANDIDATE,96.4562198,214.74931,0.775,11.195,951.0,9.1,727.0,65.96,54.6,7029.0,3.806,2.7039999999999997,284.41592,48.65802,12.998,0
2578,2579,11071200,CANDIDATE,44.5643831,143.43526,0.851,7.874,361.0,5.8,940.0,184.67,27.0,7029.0,3.806,2.7039999999999997,284.41592,48.65802,12.998,0
2580,2581,3545135,CANDIDATE,8.48299282,132.96583,0.564,2.505,69.1,0.8,879.0,141.04,21.3,5827.0,4.471,0.9329999999999999,291.57422,38.655949,12.147,0
2582,2583,6432345,CANDIDATE,234.635652,172.64615,0.025,6.965,869.0,2.56,267.0,1.2,26.7,5422.0,4.481,0.885,288.15671000000003,41.877972,14.607000000000001,0
2583,2584,8703129,CANDIDATE,253.374581,235.74025,0.027999999999999997,22.889,1100.0,19.25,555.0,22.41,99.9,5177.0,3.216,5.949,296.7236,44.853142,11.892999999999999,1
2592,2593,5613821,CANDIDATE,5.06092282,134.47316,0.9440000000000001,2.5860000000000003,71.6,0.98,998.0,234.93,15.7,5637.0,4.492,0.9109999999999999,289.91742,40.828606,13.345999999999998,0
2596,2597,8639908,CANDIDATE,0.910020582,131.99239,0.79,1.7956,358.0,1.12,1127.0,380.16,29.9,4297.0,4.725,0.5329999999999999,297.00354,44.775089,15.380999999999998,0
2598,2599,11076400,CANDIDATE,1.07808492,132.03683,0.287,0.8551,156.0,1.01,1417.0,951.61,22.9,4906.0,4.511,0.8140000000000001,287.72565,48.651379,14.288,1
2599,2600,7877978,CANDIDATE,56.573231799999995,146.57984,0.9420000000000001,4.188,689.0,2.69,356.0,3.79,21.6,4701.0,4.54,0.775,286.3718,43.691921,14.889000000000001,0
2614,2615,10190075,CANDIDATE,11.191619900000001,138.04258000000002,0.895,2.1,166.0,1.47,782.0,88.34,11.9,5646.0,4.4639999999999995,0.956,283.33533,47.208832,14.527999999999999,1
2618,2619,10749059,CANDIDATE,174.731515,252.5348,0.021,8.257,1180.0,3.0,287.0,1.6,16.5,5201.0,4.447,0.897,297.88464,48.00145,15.707,0
2622,2623,9020114,CANDIDATE,3.48412874,134.5504,0.106,1.422,162.0,1.16,1132.0,389.41,13.3,5696.0,4.519,0.9209999999999999,291.16437,45.318290999999995,14.953,1
2624,2625,7668416,CANDIDATE,0.858546796,132.14428999999998,0.24100000000000002,1.1,106.0,0.88,1671.0,1846.35,12.2,5269.0,4.4910000000000005,0.8640000000000001,286.14804,43.369202,15.247,1
2625,2626,6029239,CANDIDATE,5.5181949999999995,136.584,0.243,1.81,27.1,0.46,969.0,208.54,5.2,5767.0,4.538,0.8809999999999999,287.08997,41.373878000000005,12.549000000000001,1
2631,2632,3545478,CANDIDATE,75.1122132,207.713987,0.838,4.9458,3750.0,23.23,777.0,86.18,384.0,6201.0,3.616,3.3539999999999996,291.66418,38.619254999999995,11.714,1
2632,2633,4815520,CANDIDATE,31.57865122,177.20623700000002,0.04,2.12791,2130.0,4.52,570.0,24.94,324.3,5733.0,4.442,0.99,284.47217,39.911812,11.105,0
2636,2637,11565544,CANDIDATE,3.76562031,131.75562,1.193,1.288,233.0,19.39,1084.0,326.2,14.6,5743.0,4.553,0.853,294.96811,49.556511,14.698,1
2639,2640,12072872,CANDIDATE,2.46288834,132.80114,0.256,1.724,47.4,0.67,1391.0,883.43,11.9,5893.0,4.395,0.9670000000000001,296.85925,50.560162,13.308,1
2640,2641,6609270,CANDIDATE,3.82223397,132.14965,0.725,1.9240000000000002,363.0,1.05,601.0,30.84,15.9,3729.0,4.7330000000000005,0.514,292.73764,42.014832,15.665,0
2641,2642,12406807,CANDIDATE,17.067644,145.56929,0.106,6.026,262.0,1.62,769.0,82.56,13.5,6347.0,4.4639999999999995,0.996,290.88831,51.248169,15.372,1
2644,2645,9650989,CANDIDATE,3.42390809,132.88326,0.213,1.7730000000000001,153.0,1.25,1212.0,508.75,13.1,5788.0,4.442,1.015,292.57336000000004,46.36684,15.067,1
2646,2647,6291837,CANDIDATE,35.5969684,187.52765,0.895,6.691,685.0,3.72,646.0,41.06,52.5,6212.0,4.309,1.209,293.92972000000003,41.602871,12.350999999999999,0
2657,2658,8709688,CANDIDATE,4.17939037,133.84818,0.317,2.647,173.0,1.52,1194.0,478.98,16.1,5633.0,4.296,1.162,298.40137000000004,44.838181,14.927,0
2658,2659,8241079,CANDIDATE,10.919265300000001,134.26789,0.434,4.572,91.1,1.9,1107.0,355.29,15.0,5745.0,3.9389999999999996,1.972,294.54041,44.190979,13.534,0
2660,2661,11618601,CANDIDATE,2.76263737,132.99573999999998,0.46,1.821,185.0,1.25,1231.0,544.05,14.1,5772.0,4.5280000000000005,0.9009999999999999,295.58648999999997,49.666851,15.4,1
2673,2674,7364176,CANDIDATE,135.1879934,190.93292,0.023,8.8191,663.0,2.32,345.0,3.33,85.8,5731.0,4.4510000000000005,0.9059999999999999,292.23492000000005,42.909458,12.765,0
2675,2676,12356617,CANDIDATE,988.8811177000001,239.22418900000002,0.1667,5.9504,5060.0,10.81,223.0,0.58,136.4,5755.0,4.101,1.5490000000000002,291.2012,51.144279,13.293,0
2679,2680,11618601,CANDIDATE,5.05368985,135.11296000000002,0.53,2.5140000000000002,172.0,1.21,1007.0,243.06,11.5,5772.0,4.5280000000000005,0.9009999999999999,295.58648999999997,49.666851,15.4,1
2685,2686,12168993,CANDIDATE,4.21223579,132.9291,0.97,7.898,116.0,1.04,887.0,146.4,12.8,5116.0,4.591,0.7,296.28064,50.755669,15.277000000000001,1
2688,2689,7700622,CANDIDATE,35.58349688,189.03562,0.001,3.9885,938.0,2.03,408.0,6.54,90.8,4894.0,4.637,0.684,297.27187999999995,43.333309,12.968,0
2691,2692,8008067,CANDIDATE,7.305706326,131.77905,0.826,1.4228,265.0,2.11,972.0,210.72,43.6,5620.0,4.333,1.143,282.39194,43.889351,12.700999999999999,0
2693,2694,7051180,CANDIDATE,1.9510822190000001,157.54316,0.925,1.6975,1150.0,10.35,2005.0,3822.26,30.1,5302.0,3.7680000000000002,2.426,296.51059,42.54744,13.142999999999999,1
2697,2698,2446113,CANDIDATE,23.1375919,152.17335,0.429,3.35,114.0,1.83,837.0,115.86,12.9,6078.0,4.093999999999999,1.683,292.05676,37.776192,13.319,1
2698,2699,11137180,CANDIDATE,6.07032548,135.30933000000002,0.45399999999999996,1.341,312.0,1.36,789.0,91.45,11.9,5076.0,4.598,0.763,291.6756,48.762562,15.489,1
2700,2701,5903749,CANDIDATE,18.976328600000002,134.83396000000002,0.922,2.379,330.0,2.24,638.0,39.11,11.0,5300.0,4.385,0.986,298.75836,41.159882,14.948,1
2701,2702,5903749,CANDIDATE,6.34724702,133.00398,0.7390000000000001,3.097,160.0,1.35,919.0,168.14,11.1,5300.0,4.385,0.986,298.75836,41.159882,14.948,1
2703,2704,3756264,CANDIDATE,7.36272124,136.86143,0.253,1.3287,429.0,1.86,901.0,155.72,17.8,5868.0,4.53,0.894,293.82662999999997,38.856621000000004,14.940999999999999,0
2706,2707,8581240,CANDIDATE,4.32848303,132.5128,0.36700000000000005,2.955,35.5,0.66,1199.0,488.23,11.4,5874.0,4.338,1.0959999999999999,298.57687000000004,44.621609,12.863,1
2709,2710,8684730,CANDIDATE,46.15119482,176.626026,0.904,6.3427,1820.0,10.02,703.0,57.8,286.0,5877.0,3.927,1.963,290.11752,44.87294,12.710999999999999,0
2710,2711,3246867,CANDIDATE,5.32737192,133.27114,0.3554,2.226,108.0,0.7,782.0,88.33,6.8,4905.0,4.593,0.679,294.34146,38.340519,14.44,1
2713,2714,8554498,CANDIDATE,4.780327581,132.974086,0.9520000000000001,2.0253,961.0,7.14,1441.0,1020.05,380.8,5937.0,4.012,1.787,289.73972000000003,44.647419,11.665,1
2719,2720,6949898,CANDIDATE,7.64809462,137.21737,0.265,2.2159999999999997,196.0,1.19,840.0,117.65,12.2,5641.0,4.553999999999999,0.85,292.22739,42.451969,15.267000000000001,1
2722,2723,2973386,CANDIDATE,31.0209175,138.01478999999998,0.8809999999999999,2.012,860.0,1.66,291.0,1.7,15.1,3720.0,4.763999999999999,0.48,286.98013,38.165217999999996,15.572000000000001,0
2724,2725,7022573,CANDIDATE,2.118893997,132.8042,0.019,0.8220000000000001,311.0,1.41,1230.0,541.53,11.3,5504.0,4.583,0.7959999999999999,288.21072000000004,42.556808000000004,15.855,1
2726,2727,9288237,CANDIDATE,7.49133777,135.31257,0.013000000000000001,6.315,34.5,1.01,1291.0,656.15,14.4,6177.0,3.9930000000000003,1.71,294.71677,45.781269,12.277000000000001,1
2742,2743,6593150,CANDIDATE,5.465417400000001,133.58893,0.301,3.2089999999999996,220.0,1.23,927.0,174.08,14.2,5612.0,4.566,0.8290000000000001,287.60222999999996,42.075741,15.860999999999999,1
2745,2746,6523351,CANDIDATE,6.06664931,136.14365,0.902,1.962,65.3,0.87,915.0,165.66,10.9,5569.0,4.521,0.892,292.1218,41.927029,13.163,1
2746,2747,5551672,CANDIDATE,2.184437698,133.67492,0.035,1.0422,1550.0,0.94,529.0,18.41,19.7,3421.0,5.013999999999999,0.25,296.58718999999996,40.722988,16.945999999999998,0
2750,2751,8197793,CANDIDATE,15.2311195,143.73591000000002,0.192,3.91,269.0,1.94,800.0,96.84,13.1,5836.0,4.316,1.186,301.04812999999996,44.037689,15.029000000000002,1
2752,2753,9880467,CANDIDATE,8.97349999,171.03075,0.56,3.1408,935.0,36.0,2262.0,6178.9,44.1,4751.0,2.52,11.536,286.65604,46.783543,12.96,1
2753,2754,9880467,CANDIDATE,108.54694599999999,151.1275,0.055,7.567,711.0,29.67,985.0,222.7,15.3,4751.0,2.52,11.536,286.65604,46.783543,12.96,1
2761,2762,3831053,CANDIDATE,6.14955931,169.55182,0.368,5.5694,334.0,3.26,1287.0,649.26,87.3,5687.0,3.9730000000000003,1.775,284.70691,38.936821,13.644,0
2762,2763,6357290,CANDIDATE,4.8099878,133.00671,0.2,1.97,288.0,1.59,1077.0,317.8,13.6,5988.0,4.507,0.934,289.56802000000005,41.771561,15.667,1
2763,2764,4072955,CANDIDATE,5.08288076,134.00557,0.389,2.515,108.0,1.15,1183.0,462.96,12.5,6217.0,4.375,1.083,295.46259,39.168479999999995,14.207,1
2764,2765,8695311,CANDIDATE,31.0259489,158.5632,0.153,5.692,385.0,1.91,595.0,29.67,12.7,6075.0,4.486000000000001,0.9690000000000001,294.16643999999997,44.886311,15.959000000000001,1
2765,2766,9834731,CANDIDATE,3.08942807,134.1999,0.65,3.214,85.3,1.07,1361.0,808.76,13.2,6137.0,4.418,1.103,293.43079,46.692089,14.829,1
2766,2767,5092266,CANDIDATE,44.8702042,141.11446,0.436,4.199,636.0,2.56,536.0,19.5,16.4,6122.0,4.471,0.996,289.67856,40.249641,15.755,0
2770,2771,7609674,CANDIDATE,21.236002399999997,149.88083,0.205,4.019,104.0,2.62,1048.0,285.21,15.7,6035.0,3.745,2.559,292.47977000000003,43.227024,13.370999999999999,0
2780,2781,4252322,CANDIDATE,14.59150445,180.85154599999998,1.21,1.1295,1490.0,36.85,879.0,140.82,68.0,5940.0,4.199,1.3119999999999998,288.75781,39.350571,13.311,1
2784,2785,9714550,CANDIDATE,4.73292061,131.579,0.121,1.746,152.0,0.97,957.0,198.57,15.5,5595.0,4.581,0.7959999999999999,293.61926,46.413342,14.651,0
2786,2787,5475042,CANDIDATE,1.242639742,131.88125,0.152,1.7630000000000001,159.0,1.02,1487.0,1159.26,16.1,5520.0,4.572,0.818,298.44647000000003,40.624882,15.33,1
2788,2789,10252275,CANDIDATE,14.863849599999998,142.95729,1.006,2.705,221.0,2.9,620.0,35.04,12.3,5159.0,4.508,0.8,280.70853,47.32806,13.752,1
2789,2790,10252275,CANDIDATE,5.65245733,136.97891,0.889,2.062,121.0,1.05,856.0,127.1,11.7,5159.0,4.508,0.8,280.70853,47.32806,13.752,1
2797,2798,5450893,CANDIDATE,4.82051088,135.78541,0.922,3.588,40.9,1.08,1328.0,735.25,14.8,6046.0,4.158,1.396,292.57779,40.667858,12.860999999999999,0
2798,2799,4770174,CANDIDATE,6.09595681,134.59214,0.685,5.502000000000001,65.7,1.26,1259.0,593.42,18.1,6313.0,4.228,1.4669999999999999,297.39371,39.829041,12.742,0
2799,2800,8949925,CANDIDATE,13.2511214,141.178,0.231,4.996,267.0,1.98,850.0,123.32,15.2,5850.0,4.297,1.217,290.73447000000004,45.297791,15.085,0
2800,2801,9959492,CANDIDATE,11.682369,134.8311,0.6987,2.71,235.0,1.45,802.0,97.62,11.2,6089.0,4.527,0.889,295.19968,46.832321,15.276,1
2801,2802,8827575,CANDIDATE,10.12956201,135.99804,0.544,3.0439999999999996,81.3,0.78,736.0,69.43,12.2,5383.0,4.5280000000000005,0.8420000000000001,295.09027000000003,45.081181,13.573,1
2802,2803,8827575,CANDIDATE,15.611223800000001,144.8735,0.46799999999999997,3.873,114.0,0.91,637.0,38.99,15.7,5383.0,4.5280000000000005,0.8420000000000001,295.09027000000003,45.081181,13.573,0
2808,2809,6945786,CANDIDATE,2.39161966,133.07956000000001,0.299,1.906,189.0,0.93,1031.0,266.01,13.6,4935.0,4.5889999999999995,0.685,290.88931,42.45966,15.738,1
2809,2810,5978170,CANDIDATE,5.68879083,131.6672,0.39,2.55,242.0,0.99,645.0,40.88,13.8,4234.0,4.63,0.639,296.61725,41.281189000000005,15.561,1
2818,2819,6438099,CANDIDATE,21.61313362,137.02688999999998,0.7140000000000001,1.52,818.0,1.94,503.0,15.14,13.8,5267.0,4.681,0.632,290.22067000000004,41.868721,15.862,1
2827,2828,3752110,CANDIDATE,27.9430245,136.8697,0.052000000000000005,6.125,309.0,2.21,718.0,62.74,12.3,6468.0,4.363,1.25,292.80722000000003,38.884232,15.243,1
2829,2830,1717722,CANDIDATE,4.53702121,132.1846,0.706,1.8130000000000002,504.0,1.66,798.0,95.61,15.7,4805.0,4.633,0.688,290.61798,37.289089000000004,15.689,0
2830,2831,1717722,CANDIDATE,0.9773114890000001,131.70299,0.01,1.403,251.0,1.06,1331.0,737.36,14.8,4805.0,4.633,0.688,290.61798,37.289089000000004,15.689,0
2838,2839,4141376,CANDIDATE,11.87290814,180.895933,0.904,2.5342,333.0,2.25,863.0,131.55,84.7,6147.0,4.412,1.04,286.68945,39.211909999999996,11.072000000000001,0
2841,2842,8360640,CANDIDATE,4.0223109,135.17298,0.741,0.853,228.0,1.37,1017.0,253.28,11.0,5516.0,4.544,0.8270000000000001,290.04388,44.370602000000005,14.264000000000001,1
2843,2844,4857058,CANDIDATE,7.32851947,132.12857,0.983,1.2109999999999999,278.0,2.33,807.0,100.13,14.0,5135.0,4.4639999999999995,0.8740000000000001,297.04208,39.912231,14.315999999999999,1
2846,2847,5040077,CANDIDATE,0.8963822690000001,132.29651,0.332,1.113,136.0,1.0,1810.0,2524.81,11.7,5837.0,4.502,0.843,298.53967,40.183659000000006,14.603,1
2848,2849,9592705,CANDIDATE,10.27532513,177.27227,0.315,6.3093,210.0,3.04,1211.0,508.21,99.5,6150.0,3.96,2.086,293.71646,46.226653999999996,11.02,0
2850,2851,10386922,CANDIDATE,26.62941953,191.99626999999998,0.015,7.8709,493.0,3.13,742.0,71.75,106.9,5866.0,4.117,1.4169999999999998,282.94565,47.574905,12.747,0
2857,2858,7918652,CANDIDATE,11.45541896,136.32523999999998,0.11599999999999999,4.95,68.6,1.12,975.0,213.86,15.8,6231.0,4.276,1.3559999999999999,299.707,43.622601,13.065999999999999,0
2860,2861,9230021,CANDIDATE,44.433726,162.9825,0.624,6.117999999999999,240.0,1.85,538.0,19.73,8.0,5596.0,4.298,1.145,296.19614,45.634331,15.364,1
2862,2863,6636320,CANDIDATE,6.33125228,137.14149,0.094,2.688,307.0,1.31,822.0,108.04,16.2,5383.0,4.603,0.759,299.08099,42.018139,15.411,0
2863,2864,4067925,CANDIDATE,24.2204192,146.42459,0.032,3.2710000000000004,806.0,2.1,505.0,15.43,14.0,5165.0,4.599,0.7609999999999999,294.29004,39.126869,15.911,1
2867,2868,3230805,CANDIDATE,3.91679553,133.60273999999998,0.006999999999999999,2.072,161.0,0.85,851.0,123.73,13.2,4889.0,4.637,0.6859999999999999,290.26027999999997,38.354988,14.975999999999999,1
2868,2869,4676964,CANDIDATE,43.1024434,140.1394,0.011000000000000001,7.124,300.0,1.88,539.0,19.96,14.3,5741.0,4.365,1.097,297.03922,39.785259,14.914000000000001,1
2874,2875,11189127,CANDIDATE,2.6719426569999998,169.85390800000002,0.982,1.9119,15900.0,22.36,1458.0,1069.47,97.5,6116.0,4.335,1.055,291.15738,48.861145,13.318,1
2876,2877,11394027,CANDIDATE,14.38682567,170.455049,0.021,2.1417,570.0,2.54,776.0,85.46,61.7,5725.0,4.353,1.072,286.85266,49.261681,13.585999999999999,0
2877,2878,7609553,CANDIDATE,8.85686712,134.13633000000002,0.9229999999999999,0.606,319.0,1.88,714.0,61.54,11.9,5017.0,4.516,0.797,292.4404,43.209431,14.589,1
2878,2879,11395587,CANDIDATE,12.99065074,177.23865,0.068,2.3748,392.0,2.02,790.0,92.12,42.5,5787.0,4.402,1.0270000000000001,287.86142,49.264462,13.387,0
2884,2885,8509442,CANDIDATE,82.65951740000001,152.6726,0.579,3.48,1270.0,2.03,233.0,0.7,17.1,3952.0,4.716,0.5529999999999999,296.73724,44.50148,15.995,0
2889,2890,8546542,CANDIDATE,7.40985182,138.18222,0.23399999999999999,1.131,201.0,1.18,818.0,105.91,13.5,5462.0,4.56,0.836,285.7485,44.632462,14.449000000000002,1
2897,2898,10122538,CANDIDATE,75.731195,201.9685,0.9,4.859,2500.0,3.47,237.0,0.74,16.3,3891.0,4.718,0.564,283.33606000000003,47.174541,16.279,0
2901,2902,11566064,CANDIDATE,152.1060435,176.52741,0.878,7.4517,3690.0,11.58,458.0,10.36,116.3,6200.0,4.072,1.64,295.21268,49.56218,13.374,0
2902,2903,11566064,CANDIDATE,30.6528935,135.04211,0.682,4.99,270.0,2.86,780.0,87.69,17.4,6200.0,4.072,1.64,295.21268,49.56218,13.374,0
2910,2911,3328080,CANDIDATE,4.76559056,133.50531,0.14,2.2,67.5,0.92,1167.0,439.42,15.2,5702.0,4.258,1.125,287.20587,38.498055,12.994000000000002,0
2911,2912,8430964,CANDIDATE,2.98618134,133.46926000000002,0.249,2.969,123.0,1.16,1356.0,798.35,12.0,6173.0,4.447,1.041,291.88632,44.478981,15.33,1
2915,2916,12256520,CANDIDATE,7.25101997,138.1878,0.314,2.799,123.0,0.91,807.0,100.18,12.2,5382.0,4.571000000000001,0.8270000000000001,290.34851000000003,50.902851,14.477,1
2918,2919,12785320,CANDIDATE,57.3840375,170.72723,0.9540000000000001,4.336,242.0,1.62,397.0,5.85,22.9,5250.0,4.541,0.79,290.49426,52.055519,12.713,0
2923,2924,11568987,CANDIDATE,7.37867551,135.82271,0.513,3.3489999999999998,125.0,1.11,933.0,178.68,22.3,5936.0,4.501,0.965,296.41855,49.5401,13.235,0
2927,2928,10000941,CANDIDATE,2.5738437000000003,132.17126000000002,0.044000000000000004,1.92,46.6,0.57,1129.0,384.24,10.9,5115.0,4.477,0.8540000000000001,286.81937,46.91169,13.632,1
2933,2934,6677841,CANDIDATE,98.353149,217.88299999999998,0.9059999999999999,24.708000000000002,423.0,4.13,552.0,21.96,30.5,6366.0,4.045,1.6969999999999998,287.3912,42.194832,13.659,1
2934,2935,7106173,CANDIDATE,10.18318233,133.21403999999998,0.449,3.137,51.5,0.79,867.0,133.56,11.2,5843.0,4.421,1.084,287.97885,42.679359000000005,12.857000000000001,1
2935,2936,7106173,CANDIDATE,6.2321233,135.2369,0.32,2.85,31.7,0.61,1021.0,256.72,8.5,5843.0,4.421,1.084,287.97885,42.679359000000005,12.857000000000001,1
2936,2937,7106173,CANDIDATE,8.2942929,134.8478,0.006,3.9760000000000004,36.8,0.65,928.0,175.39,10.1,5843.0,4.421,1.084,287.97885,42.679359000000005,12.857000000000001,1
2939,2940,8162789,CANDIDATE,10.16102353,172.00073600000002,0.716,3.1627,1650.0,4.62,904.0,157.97,111.1,6032.0,4.387,1.06,290.73517000000004,44.09132,14.633,0
2940,2941,8265218,CANDIDATE,12.82993461,169.944919,0.594,2.9419999999999997,1420.0,3.31,734.0,68.41,79.6,5862.0,4.555,0.8440000000000001,301.14789,44.104541999999995,14.405999999999999,0
2948,2949,8558011,CANDIDATE,39.6766071,178.55555,0.639,5.04,611.0,2.29,473.0,11.85,24.9,5244.0,4.449,0.888,291.05722000000003,44.632381,14.405,0
2960,2961,9334893,CANDIDATE,2.47240869,132.44083999999998,0.319,1.87,47.5,0.36,887.0,145.69,9.0,4729.0,4.726,0.525,288.45605,45.80212,13.831,1
2961,2962,8934495,CANDIDATE,4.592393816,172.00472299999998,0.02,2.2748,1030.0,2.51,924.0,172.6,105.9,5351.0,4.582,0.7959999999999999,283.54416000000003,45.225552,14.868,0
2966,2967,12406807,CANDIDATE,7.9069765,138.42700000000002,0.038,4.6339999999999995,126.0,1.13,994.0,230.28,8.3,6347.0,4.4639999999999995,0.996,290.88831,51.248169,15.372,1
2972,2973,4548011,CANDIDATE,13.9509565,144.287,0.467,5.231,35.7,0.75,849.0,122.88,11.2,5888.0,4.275,1.227,287.37125,39.603569,12.4,1
2974,2975,10016874,CANDIDATE,16.30141333,172.14753000000002,0.7859999999999999,3.5764,942.0,3.84,805.0,99.08,62.4,6072.0,4.328,1.138,294.02297999999996,46.99955,14.732999999999999,0
2975,2976,10189546,CANDIDATE,24.61480613,191.741225,0.435,2.6602,1800.0,4.2,586.0,27.93,68.4,5312.0,4.3839999999999995,0.986,283.0228,47.261131,14.620999999999999,0
2990,2991,10395543,CANDIDATE,3.6874698319999997,170.8803594,0.919,1.0668,5060.0,5.78,690.0,53.6,363.9,4004.0,4.659,0.606,287.69119,47.546902,14.418,0
2993,2994,7941200,CANDIDATE,65.7045275,137.44275,0.6629999999999999,3.3104,636.0,2.78,472.0,11.72,70.4,5918.0,4.4030000000000005,1.043,283.37482,43.788219,11.667,0
2999,3000,10717241,CANDIDATE,9.340538,135.12248,0.07400000000000001,2.57,201.0,0.84,530.0,18.69,11.1,4200.0,4.664,0.607,285.48505,48.054321,14.897,1
3000,3001,7303287,CANDIDATE,330.071558,340.9871,0.6809999999999999,4.295,617.0,2.94,286.0,1.58,10.6,5933.0,4.342,1.115,297.46533,42.882839000000004,13.956,1
3012,3013,8121310,CANDIDATE,11.505879,136.2363,0.028999999999999998,5.582999999999999,49.8,0.99,1000.0,236.35,12.5,6336.0,4.266,1.403,298.81638,43.998039,12.885,1
3013,3014,10513530,CANDIDATE,3.52467888,131.63994,0.976,2.484,130.0,1.46,1098.0,344.61,12.3,5372.0,4.434,0.9159999999999999,280.64136,47.751942,14.68,1
3045,3046,11709124,CANDIDATE,934.0941846000001,657.26877,0.4948,17.489,8710.0,7.89,177.0,0.23,135.5,5937.0,4.559,0.8320000000000001,289.78052,49.89653,14.534,1
3046,3047,11805075,CANDIDATE,199.8392053,225.35896,0.8109999999999999,4.378,44500.0,21.48,276.0,1.36,590.6,5457.0,4.548,0.8690000000000001,286.65689,50.021568,14.74,1
3067,3068,10676824,CANDIDATE,6.45442931,173.21478000000002,0.7490000000000001,2.6772,586.0,2.48,999.0,234.98,45.3,6092.0,4.496,0.943,296.12073,47.921478,14.854000000000001,0
